address,zip,lat_long,neighborhood,status
69-39 yellowston boulevard #112 in forest hills,11375,40.7234953:-73.8460865,West Central Queens,Claim
137 w 137th #d33 in central harlem,10030,40.8163376:-73.9415618,Central Harlem,Claim
216-10 77th avenue #4c in oakland gardens,11364,40.736935:-73.75588499999999,Northeast Queens,No Claim
97 pitt street #apt9 in lower east side,10002,40.7189593:-73.9823655,Lower East Side,No Claim
151-10 35th avenue #2d in murray hill,11106,40.7631367:-73.9397193,Northwest Queens,No Claim
125-05 84th avenue #4g in kew gardens,11415,40.7089918:-73.8276155,Southwest Queens,No Claim
143-08 roosevelt avenue #7 in flushing,11354,40.7608867:-73.8240156,North Queens,No Claim
615 west 172nd street #1 in washington heights,10032,40.8439679:-73.9385157,Inwood and Washington Heights,No Claim
1887 amsterdam avenue #4c in hamilton heights,10032,40.8304219:-73.9433974,Inwood and Washington Heights,No Claim
15 wadsworth avenue #a1 in washington heights,10033,40.8450973:-73.9381176,Inwood and Washington Heights,No Claim
501 west 29th street #3fs in west chelsea,10001,40.7516618:-74.0016313,Chelsea and Clinton,No Claim
147-15 northern boulevard #l3 in murray hill,11354,40.765752:-73.81897769999999,North Queens,Claim
34-43 francis lewis boulevard #4g in auburndale,11358,28.0652975:-81.7886906,North Queens,Claim
385 fort washington avenue #68 in hudson heights,10033,40.8481587:-73.9396703,Inwood and Washington Heights,Claim
304 pleasant avenue #4n in east harlem,10035,40.7951944:-73.9327903,East Harlem,No Claim
152-11 89th avenue #426 in jamaica ,11432,18.109581:-77.297508,Jamaica,Claim
951 amsterdam avenue #3d in manhattan valley,10025,40.8007904:-73.965105,Upper West Side,Claim
780 riverside drive #d10 in washington heights,10032,40.8339347:-73.9478561,Inwood and Washington Heights,Claim
28-14 31st street #508 in astoria,11102,40.7682381:-73.9204669,Northwest Queens,No Claim
110 bennett avenue #2b in hudson heights,10033,40.8537457:-73.93534509999999,Inwood and Washington Heights,No Claim
1595 york avenue #4sw in yorkville,10028,40.7748675:-73.9482206,Upper East Side,No Claim
416 east 120th street #c1 in east harlem,10035,40.7980864:-73.9327903,East Harlem,No Claim
318 east 78th street #28 in lenox hill,10075,40.772168:-73.9547487,Upper East Side,No Claim
338 east 53rd street #3c in turtle bay,10022,40.755916:-73.96576639999999,Gramercy Park and Murray Hill,No Claim
111-23 76 road #a6 in forest hills ,11375,40.7162137:-73.8361718,West Central Queens,No Claim
309 east 104th street #3b in east harlem,10029,40.7892219:-73.94257209999999,East Harlem,Claim
545 edgecombe avenue #h5 in washington heights,10032,40.8335726:-73.93917379999999,Inwood and Washington Heights,No Claim
75 fort washington avenue #gf in washington heights,10032,40.8377099:-73.944321,Inwood and Washington Heights,No Claim
87-42 elmhurst avenue #k6,11373,None,West Queens,Claim
186 orchard st #2,10002,None,Lower East Side,Claim
"166 w 75th st, upper west side",10023,40.7803197:-73.9799267,Upper West Side,No Claim
577 second avenue #23 in kips bay,10016,40.7434411:-73.9772703,Gramercy Park and Murray Hill,No Claim
35-48 35th street #2g in astoria,11106,40.7643574:-73.92346189999999,Northwest Queens,No Claim
1515 lexington avenue #3c in carnegie hill,10029,40.7869124:-73.949879,East Harlem,No Claim
47 east 30th street #3a in  nomad,10016,40.7449936:-73.9834469,Gramercy Park and Murray Hill,No Claim
562 west 174th street #44 in washington heights,10033,40.8444191:-73.9366021,Inwood and Washington Heights,No Claim
61-17 68th avenue #4e in ridgewood,11385,40.7056581:-73.8956334,West Central Queens,No Claim
144-30 35th avenue #a45,11354,None,North Queens,Claim
19 south oxford street #1a in greene,11217,None,Northwest Brooklyn,No Claim
396 cornelia street #1l in bushwick,11237,40.6970287:-73.90843699999999,Bushwick and Williamsburg,No Claim
230 east 89th street #9 in yorkville,10128,40.7800987:-73.95141939999999,Upper East Side,No Claim
436 west 49th street #3fe in hell’s kitchen,10019,40.7633097:-73.9912056,Chelsea and Clinton,No Claim
320 west 75th street #5a in  upper west side,10023,40.7822046:-73.98457549999999,Upper West Side,No Claim
7 east 32nd street #4e in midtown south,10016,40.7469692:-73.9847079,Gramercy Park and Murray Hill,No Claim
1452 second avenue #3 in lenox hill,10021,40.7711244:-73.9563548,Upper East Side,No Claim
401 east 83rd street #4a in yorkville,10028,40.7748833:-73.9503945,Upper East Side,No Claim
350 central park west #1r in upper west side,10025,40.7906666:-73.9658766,Upper West Side,No Claim
